Distributor_ID,Distributor
1,Lindgren-Simonis Pharm
2,Lesch   
3,Lockman  
4,Hansen Group Pharm
5,Kris LLC  
6,Kozey-Emmerich 
7,Koss   
8,Bashirian-Kassulke  
9,Welch-Langworth 
10,Schuppe Inc 
11,Crist Inc 
12,Carter-Conn  
13,Stehr-Champlin  
14,Prohaska-Kuhic 
15,Erdman  
16,Daugherty-Rempel  
17,Romaguera-Fay  
18,Gleason   
19,Beier  
20,Smith Inc 
21,Gottlieb-Cruickshank  
22,Graham and Sons 
23,Rohan and Sons  
24,Schaefer LLC 
25,Rohan   
26,Rogahn-Klein 
27,Gerlach LLC 
28,Cassin  
29,Nader-Gaylord  
