Product_ID,ProductClass,ProductName
1,Analgesics,Amlominphen Dexanovate
2,Antimalarial,Magneprex
3,Antibiotics,Adtiza Gammaluble
4,Antiseptics,Lovepion
5,Mood Stabilizers,Alarudin Azarolac
6,Antibiotics,Apronazol
7,Analgesics,Pulmodiol Adalaxime
8,Antibiotics,Tesnorphine Silotamine
9,Antipiretics,Secrelazine Insonamic
10,Antipiretics,Ibrulinum
11,Antiseptics,Diprolimus
12,Analgesics,Diazemid Felcept
13,Analgesics,Aldevac
14,Antiseptics,Novakyn Tracprox
15,Mood Stabilizers,Cephovelam
16,Antiseptics,Duraprazole Agalsixolol
17,Antibiotics,Relenstrel Exurabine
18,Mood Stabilizers,Factofribrate
19,Antiseptics,Interfedox Pilobamol
20,Analgesics,Paronium Atracustone
21,Mood Stabilizers,Liomulin
22,Antiseptics,Ciclonazol
23,Antimalarial,Abobozolid
24,Antibiotics,Thalilamide
25,Antiseptics,Menogine
26,Antiseptics,Benzoprox
27,Analgesics,Penitrana
28,Antimalarial,Clinicilin Pentozone
29,Mood Stabilizers,Antaparin Varizyme
30,Antimalarial,Microroban Afatigomar
31,Mood Stabilizers,Palodizem
32,Antipiretics,Decidenu Galantrigine
33,Antibiotics,Algluconium Dorzofoxin
34,Antiseptics,Albudazole Erobloc
35,Analgesics,Betanem
36,Antiseptics,Abtasol
37,Analgesics,Dasagestin
38,Antibiotics,Vibratosine Alemtrace
39,Antimalarial,Dorzovorin Pentadarone
40,Analgesics,Lioletine Refliruvax
41,Antipiretics,Symdocet
42,Antibiotics,Choriotrisin
43,Antiseptics,Factolamide
44,Mood Stabilizers,Pazofenac
45,Antipiretics,Travosoline Capolac
46,Analgesics,Lovephilus
47,Analgesics,Sumanazole
48,Antipiretics,Tiaracil
49,Antiseptics,Biotasol Siloderm
50,Antipiretics,Bexridol
51,Antiseptics,Ultrimax Ultriset
52,Mood Stabilizers,Exexone
53,Antipiretics,Ceftatana Serolamide
54,Antiseptics,Proderal
55,Antipiretics,Sevoderm
56,Antipiretics,Abilovir Aprotasol
57,Antiseptics,Aggrakine
58,Antibiotics,Fentatrol Rapatelase
59,Antibiotics,Claricriptine Adaferol
60,Mood Stabilizers,Raparidol
61,Antiseptics,Adriafinil Ehtymara
62,Antipiretics,Tacrodomide
63,Antibiotics,Ranediol
64,Antiseptics,Zithrotrol
65,Mood Stabilizers,Acycpex
66,Antimalarial,Amamadin
67,Antiseptics,Alisteride Pemidizem
68,Analgesics,Acelimus
69,Antiseptics,Choriogestrel
70,Antiseptics,Panpion
71,Mood Stabilizers,Xenaderal
72,Analgesics,Ionclotide
73,Mood Stabilizers,Spiroderall
74,Antibiotics,Primapion
75,Analgesics,Alpradipine
